Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
shopify.store.clickPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:36:35,2023-02-13 09:37:36,1m - 1.132s,PASSED
shopify.store.confirmPublishTheme(),Chrome 109.0.0.0,,,2023-02-13 09:37:36,2023-02-13 09:37:47,10.599s,PASSED
"shopify.store_setting.changeStoreCurrency(currency, store_name)",Chrome 109.0.0.0,,,2023-02-13 09:37:47,2023-02-13 09:38:07,20.078s,PASSED
shopify.store_setting.saveStoreSetting(),Chrome 109.0.0.0,,,2023-02-13 09:38:07,2023-02-13 09:38:07,0.480s,PASSED
Start tear down : teardownIfPassed,Chrome 109.0.0.0,,,2023-02-13 09:38:07,2023-02-13 09:38:07,0.035s,PASSED
,,,,,,,
Test Cases/Shopify/CreateStore,Chrome 109.0.0.0,,,2023-02-13 09:38:07,2023-02-13 09:42:15,4m - 7.390s,PASSED
Start listener action : skipStatus,Chrome 109.0.0.0,,,2023-02-13 09:38:08,2023-02-13 09:38:08,0.000s,PASSED
log = new com.kms.katalon.core.util.KeywordUtil(),Chrome 109.0.0.0,,,2023-02-13 09:38:08,2023-02-13 09:38:08,0.000s,PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-02-13 09:38:08,2023-02-13 09:38:09,1.759s,PASSED
maximizeWindow(),Chrome 109.0.0.0,,,2023-02-13 09:38:09,2023-02-13 09:38:09,0.128s,PASSED
st = new shopify.store(),Chrome 109.0.0.0,,,2023-02-13 09:38:09,2023-02-13 09:38:09,0.000s,PASSED
"st.loginShopifyPartner(partner_email, partner_password, partner_id)",Chrome 109.0.0.0,,,2023-02-13 09:38:09,2023-02-13 09:38:45,35.921s,PASSED
st.navigateToStoreDevelop(partner_id),Chrome 109.0.0.0,,,2023-02-13 09:38:45,2023-02-13 09:38:46,1.113s,PASSED
st.inputStoreName(store_name),Chrome 109.0.0.0,,,2023-02-13 09:38:46,2023-02-13 09:38:53,6.481s,PASSED
shopify.store.clickCreateStore(),Chrome 109.0.0.0,,,2023-02-13 09:38:53,2023-02-13 09:39:13,20.397s,PASSED
shopify.store.importProduct(product_file_local),Chrome 109.0.0.0,,,2023-02-13 09:39:13,2023-02-13 09:40:22,1m - 8.218s,PASSED
